0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:15 +0900] "GET /boardStudy/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:31 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:31 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:31 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:12:59 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:14:10 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:16:58 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:20:29 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:20:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:20:29 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:20:29 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:20:29 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:21:12 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:21:13 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:21:13 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:21:13 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2021:17:32:39 +0900] "GET /boardStudy/board/mapTest.html HTTP/1.1" 304 -
